stars,user_id,business_id,name,name,stars,review_count,latitude,longitude
5,JEpXqyz6aNiyCHNrlopoeA,Cx0wkl85Xdw9OCQkbXMjzQ,Steph,Sushi Bong,4,93,43.8035,-79.4206
5,aOseJnydZYD8Og00vWylqg,Cx0wkl85Xdw9OCQkbXMjzQ,Jacky,Sushi Bong,4,93,43.8035,-79.4206
5,aU4ba7OlYKOKJ9kpvbOcsg,Cx0wkl85Xdw9OCQkbXMjzQ,Kenneth,Sushi Bong,4,93,43.8035,-79.4206
4,orh0HRUNCWuQMt9Iia_osg,Cx0wkl85Xdw9OCQkbXMjzQ,Joanne,Sushi Bong,4,93,43.8035,-79.4206
4,6wO1gHEzc0rYmXhuiXMFaA,Cx0wkl85Xdw9OCQkbXMjzQ,Breanna,Sushi Bong,4,93,43.8035,-79.4206
4,Md9s_mb8Dxsl5MbjIp-DjQ,Cx0wkl85Xdw9OCQkbXMjzQ,Mary,Sushi Bong,4,93,43.8035,-79.4206
5,J2bEjUPRwSJ4AKMbWolkvg,Cx0wkl85Xdw9OCQkbXMjzQ,Roshan,Sushi Bong,4,93,43.8035,-79.4206
4,P2E31XC7SP4v_3hXC2o0Xw,Cx0wkl85Xdw9OCQkbXMjzQ,Rana,Sushi Bong,4,93,43.8035,-79.4206
4,Nvpx9fUIAB3oddqgRLEPfg,Cx0wkl85Xdw9OCQkbXMjzQ,Bebe,Sushi Bong,4,93,43.8035,-79.4206
4,4RHiuzLmWTTuXlXcR5mp1g,Cx0wkl85Xdw9OCQkbXMjzQ,Shawn,Sushi Bong,4,93,43.8035,-79.4206
5,0Je69cYTpxTkVT-06Dj6Xw,Cx0wkl85Xdw9OCQkbXMjzQ,Parya,Sushi Bong,4,93,43.8035,-79.4206
5,TZoVHYCF-yF23_m_XzbjDg,Cx0wkl85Xdw9OCQkbXMjzQ,Cassey,Sushi Bong,4,93,43.8035,-79.4206
5,bJdo9ZtAG5d8ONlOusSXyw,Cx0wkl85Xdw9OCQkbXMjzQ,Laura,Sushi Bong,4,93,43.8035,-79.4206
5,AuSPHqadM9RCrZnk1i-3mg,Cx0wkl85Xdw9OCQkbXMjzQ,Wes,Sushi Bong,4,93,43.8035,-79.4206
4,Ko4y7jIissMR8ZGQlMdpaA,Cx0wkl85Xdw9OCQkbXMjzQ,E,Sushi Bong,4,93,43.8035,-79.4206
4,LgGVHVzh_9hWs_KglIXJNg,Cx0wkl85Xdw9OCQkbXMjzQ,Allan,Sushi Bong,4,93,43.8035,-79.4206
5,hcuGW5z4KP711m2YzTHnvA,Cx0wkl85Xdw9OCQkbXMjzQ,Kinkini,Sushi Bong,4,93,43.8035,-79.4206
5,HyqCP86JVOKuSy5qTYfViQ,Cx0wkl85Xdw9OCQkbXMjzQ,Sangeeta,Sushi Bong,4,93,43.8035,-79.4206
4,352o1o8i-UdpuwDMI-JnjQ,Cx0wkl85Xdw9OCQkbXMjzQ,TheRealPY,Sushi Bong,4,93,43.8035,-79.4206
5,ZbXhL5yOL1MGaLbj4Zwqsg,Cx0wkl85Xdw9OCQkbXMjzQ,Jonathan,Sushi Bong,4,93,43.8035,-79.4206
4,1bgWnqxHdMCIvmuRcJWKIA,Cx0wkl85Xdw9OCQkbXMjzQ,Nate,Sushi Bong,4,93,43.8035,-79.4206
5,Bkl9BAud8Mus6oKhal9sGQ,Cx0wkl85Xdw9OCQkbXMjzQ,Cynthia,Sushi Bong,4,93,43.8035,-79.4206
5,oNmw_GwC7vOKFAKdUjWiEw,Cx0wkl85Xdw9OCQkbXMjzQ,Phil,Sushi Bong,4,93,43.8035,-79.4206
4,GUsHNAwvZ8bGjdyBloIXXQ,Cx0wkl85Xdw9OCQkbXMjzQ,Chelsea,Sushi Bong,4,93,43.8035,-79.4206
5,ep8CzS61_Jt7HQLhoL5NGA,Cx0wkl85Xdw9OCQkbXMjzQ,L,Sushi Bong,4,93,43.8035,-79.4206
4,GnbKOPQ_ji0MZZnIqNi-mw,Cx0wkl85Xdw9OCQkbXMjzQ,Minh,Sushi Bong,4,93,43.8035,-79.4206
4,VoKCmDRJ_qtNFfL7VkH1SQ,Cx0wkl85Xdw9OCQkbXMjzQ,Hannah,Sushi Bong,4,93,43.8035,-79.4206
5,NzlqN1Ca9SW5z780thoiAg,Cx0wkl85Xdw9OCQkbXMjzQ,Mel,Sushi Bong,4,93,43.8035,-79.4206
4,UuF6Cd_yqizJACKK2zTNcQ,Cx0wkl85Xdw9OCQkbXMjzQ,Eva,Sushi Bong,4,93,43.8035,-79.4206
5,xbr4gmTQAr1VO9dNxIDmXw,Cx0wkl85Xdw9OCQkbXMjzQ,Sue,Sushi Bong,4,93,43.8035,-79.4206
5,crsofThakzXFjJLr9q1mWQ,Cx0wkl85Xdw9OCQkbXMjzQ,Joshua,Sushi Bong,4,93,43.8035,-79.4206
5,F0XaivgZUpzXmeD6-SknxA,Cx0wkl85Xdw9OCQkbXMjzQ,Tyrion,Sushi Bong,4,93,43.8035,-79.4206
5,JesJ-LaNfr3pKhL7gWhDrw,Cx0wkl85Xdw9OCQkbXMjzQ,Amy,Sushi Bong,4,93,43.8035,-79.4206
4,ABYkE1oVNm3qoVRHIM0hgg,Cx0wkl85Xdw9OCQkbXMjzQ,Maria,Sushi Bong,4,93,43.8035,-79.4206
4,5ZG9lRMhyLFTFEBtOVu_Hg,Cx0wkl85Xdw9OCQkbXMjzQ,Juu,Sushi Bong,4,93,43.8035,-79.4206
4,7_RaCe5zzPBYWm9znlffUA,Cx0wkl85Xdw9OCQkbXMjzQ,Joyce,Sushi Bong,4,93,43.8035,-79.4206
4,e1IIciLGvmxmp-AzmMdhsw,Cx0wkl85Xdw9OCQkbXMjzQ,Tony,Sushi Bong,4,93,43.8035,-79.4206
4,5JttwB3cfxkATSR2RmvLgA,Cx0wkl85Xdw9OCQkbXMjzQ,Samantha,Sushi Bong,4,93,43.8035,-79.4206
5,TxiYjno5AQvINKIcnRCn8A,Cx0wkl85Xdw9OCQkbXMjzQ,John,Sushi Bong,4,93,43.8035,-79.4206
5,UFweZH5Kr3KkGjJqJMAFjQ,Cx0wkl85Xdw9OCQkbXMjzQ,Karen,Sushi Bong,4,93,43.8035,-79.4206
4,LNNQSUtoYEtf0AsGQRwfJQ,Cx0wkl85Xdw9OCQkbXMjzQ,Nat,Sushi Bong,4,93,43.8035,-79.4206
5,C8xzgfan3k85ZV4bmSS9lg,Cx0wkl85Xdw9OCQkbXMjzQ,Katie,Sushi Bong,4,93,43.8035,-79.4206
4,upVNDKYIRPdiyYrHxZ_eVg,Cx0wkl85Xdw9OCQkbXMjzQ,Elen,Sushi Bong,4,93,43.8035,-79.4206
5,98mza_ogSAgNS8tGY9G1bA,Cx0wkl85Xdw9OCQkbXMjzQ,Dorsa,Sushi Bong,4,93,43.8035,-79.4206
